Year ,zip,naics,est,n1_4,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000
2002,44114,484121,4,2,0,1,0,0,1,0,0,0
2002,44115,484121,4,2,1,0,1,0,0,0,0,0
2002,44113,484122,1,1,0,0,0,0,0,0,0,0
2002,44114,484122,1,1,0,0,0,0,0,0,0,0
2002,44113,484210,1,0,0,1,0,0,0,0,0,0
2002,44114,484210,1,0,1,0,0,0,0,0,0,0
2002,44113,484220,7,3,2,1,1,0,0,0,0,0
2002,44115,484220,1,1,0,0,0,0,0,0,0,0
2002,44113,484230,3,1,1,1,0,0,0,0,0,0
2002,44115,484230,4,0,3,1,0,0,0,0,0,0
2002,44114,485210,1,0,0,0,0,1,0,0,0,0
2002,44113,485310,2,0,0,0,2,0,0,0,0,0
2002,44114,485320,1,0,0,1,0,0,0,0,0,0
2002,44113,485510,1,0,0,1,0,0,0,0,0,0
2002,44113,485991,1,1,0,0,0,0,0,0,0,0
2002,44113,487210,2,1,0,0,1,0,0,0,0,0
2002,44114,487210,1,1,0,0,0,0,0,0,0,0
2002,44114,488320,2,0,0,2,0,0,0,0,0,0
2002,44114,488390,1,1,0,0,0,0,0,0,0,0
2002,44113,488410,1,1,0,0,0,0,0,0,0,0
2002,44114,488410,1,0,0,1,0,0,0,0,0,0
2002,44114,488490,1,1,0,0,0,0,0,0,0,0
2002,44113,488510,4,3,0,0,1,0,0,0,0,0
2002,44115,488510,2,2,0,0,0,0,0,0,0,0
2002,44113,488991,1,0,0,1,0,0,0,0,0,0
2002,44114,492110,2,2,0,0,0,0,0,0,0,0
2002,44115,492110,2,1,0,1,0,0,0,0,0,0
2002,44114,492210,2,1,1,0,0,0,0,0,0,0
2002,44113,493110,2,2,0,0,0,0,0,0,0,0
2002,44114,493110,3,0,1,0,2,0,0,0,0,0
2002,44113,493120,1,0,0,1,0,0,0,0,0,0
2002,44115,493120,1,0,0,1,0,0,0,0,0,0
2002,44114,493190,1,0,0,0,1,0,0,0,0,0
2002,44113,511110,4,1,2,0,0,1,0,0,0,0
2002,44114,511110,2,0,0,1,0,0,0,0,0,1
